time(ns),eprodr,rhoR_fuel(gcm^2),rhoR_total(gcm^2),tion_bw(keV)
16.11,4.62E+02,0.5039,0.69472,4.8873
16.115,5.64E+02,0.53326,0.72985,4.9304
16.12,6.89E+02,0.56343,0.76613,4.9629
16.125,8.38E+02,0.59457,0.80369,4.9851
16.13,1.02E+03,0.62741,0.84329,5.0001
16.135,1.23E+03,0.66202,0.88503,5.0109
16.14,1.48E+03,0.69868,0.92933,5.0208
16.145,1.79E+03,0.73648,0.97521,5.033
16.15,2.16E+03,0.77484,1.0221,5.0503
16.155,2.62E+03,0.81368,1.06997,5.0757
16.16,3.20E+03,0.852,1.11779,5.1094
16.165,3.93E+03,0.88871,1.16448,5.1505
16.17,4.84E+03,0.92289,1.2093,5.1969
16.175,5.97E+03,0.95474,1.25223,5.2471
16.18,7.38E+03,0.98374,1.29243,5.3011
16.185,9.14E+03,1.0081,1.3279,5.3586
16.19,1.14E+04,1.0296,1.35981,5.423699998
16.196,1.51E+04,1.0493,1.39137,5.518699991
16.2,1.83E+04,1.055,1.40437,5.594399971
16.205,2.34E+04,1.0573,1.4149,5.710699887
16.21,3.00E+04,1.0528,1.41621,5.856199579
16.216,4.03E+04,1.0374,1.40517,6.071598086
16.221,5.11E+04,1.0157,1.38381,6.275193604
16.226,6.43E+04,0.98562,1.35086,6.485379742
16.231,8.01E+04,0.94711,1.30655,6.687639305
16.236,9.87E+04,0.90033,1.25193,6.875628075
16.242,1.20E+05,0.84944,1.18941,7.054544918
16.247,1.41E+05,0.79769,1.1234,7.227404777
16.252,1.59E+05,0.74872,1.05741,7.398374064
16.257,1.70E+05,0.70158,0.99261,7.561982309
16.262,1.70E+05,0.65623,0.93037,7.708995159
16.267,1.58E+05,0.61233,0.87164,7.824728967
16.272,1.39E+05,0.56814,0.81168,7.896351473
16.277,1.15E+05,0.52399,0.75065,7.913057552
16.282,9.03E+04,0.48055,0.68954,7.866547669
16.287,6.75E+04,0.4382,0.63315,7.751879931
16.292,4.85E+04,0.39833,0.58097,7.565852975
16.297,3.50E+04,0.36538,0.53962,7.308409114
16.303,2.19E+04,0.32605,0.48748,6.902227533
16.307,1.58E+04,0.30278,0.45705,6.578144786
16.312,9.56E+03,0.27186,0.41983,6.122009049
16.318,5.76E+03,0.24522,0.38245,5.53010959
16.323,3.47E+03,0.22247,0.35285,5.025252897
16.329,2.12E+03,0.20292,0.32905,4.446799931
16.333,1.31E+03,0.1862,0.30639,4.095504671
16.338,8.25E+02,0.17169,0.28606,3.711927811
16.343,5.29E+02,0.15913,0.27104,3.397877795
16.348,3.45E+02,0.14805,0.25463,3.154548556
16.353,1.99E+02,0.13542,0.23739,2.976004334
16.359,1.20E+02,0.12459,0.22456,2.832838353
16.363,8.26E+01,0.11762,0.213151,2.770760378
16.368,5.20E+01,0.10922,0.20351,2.720183563
16.374,3.33E+01,0.10207,0.191792,2.686256113
16.378,2.20E+01,0.095681,0.184902,2.673852272
16.384,1.34E+01,0.088857,0.17324,2.664017227
16.389,9.26E+00,0.083965,0.167282,2.66027102
16.393,6.43E+00,0.079772,0.160351,2.65873859
16.399,4.22E+00,0.074841,0.153309,2.657720855
16.404,2.82E+00,0.070656,0.148632,2.657399325
16.41,1.91E+00,0.066827,0.14133,2.657258699
